"","port_inst_dat.REGION","port_inst_dat.COSTT4_A","value","fact_tuition"
"496",7,48330,925.638919412293,"$35,400-$50,700"
"497",7,77875,144.31357362893,"$66,200-$81,530"
"499",7,12281,875.672926937813,"$4,600-$20,000"
"500",7,20220,696.406064236409,"$20,000-$35,400"
"501",7,36050,1136.62119234786,"$35,400-$50,700"
"503",7,27955,1392.70415845787,"$20,000-$35,400"
"504",7,23662,1376.74371482303,"$20,000-$35,400"
"505",7,16306,1309.32727288428,"$4,600-$20,000"
"507",7,18370,764.087464572547,"$4,600-$20,000"
"510",7,71341,793.218608739952,"$66,200-$81,530"
"512",7,23428,1116.94634826644,"$20,000-$35,400"
"513",7,16915,116.639695035839,"$4,600-$20,000"
"516",7,18151,914.558219786123,"$4,600-$20,000"
"517",7,22323,1256.59936270519,"$20,000-$35,400"
"518",7,21062,297.552878097219,"$20,000-$35,400"
"519",7,15874,773.378802479089,"$4,600-$20,000"
"520",7,52296,354.824619280686,"50,800-$65,000"
"522",7,18857,1267.72688682089,"$4,600-$20,000"
"523",7,24783,415.225536506335,"$20,000-$35,400"
"524",7,19658,1151.78444333249,"$4,600-$20,000"
"525",7,17277,878.575262157281,"$4,600-$20,000"
"526",7,18867,358.173688084266,"$4,600-$20,000"
"527",7,17558,754.392964837739,"$4,600-$20,000"
"528",7,51079,1173.74400082305,"50,800-$65,000"
"529",7,30569,395.748868170059,"$20,000-$35,400"
"531",7,22493,385.781200271126,"$20,000-$35,400"
"532",7,12637,3047.89152761427,"$4,600-$20,000"
"535",7,19890,1646.16618840519,"$4,600-$20,000"
"538",7,24456,127.582283013068,"$20,000-$35,400"
"539",1,51559,142.562778511404,"50,800-$65,000"
"540",1,14827,251.31514247011,"$4,600-$20,000"
"541",2,28636,872.810766302573,"$20,000-$35,400"
"542",1,52363,1121.58438349751,"50,800-$65,000"
"543",1,20520,863.836493064038,"$20,000-$35,400"
"544",1,16702,1709.04773726073,"$4,600-$20,000"
"546",1,77214,1514.31893754925,"$66,200-$81,530"
"547",1,29336,1181.18455450332,"$20,000-$35,400"
"548",1,34149,1238.55066429879,"$20,000-$35,400"
"549",1,34927,927.646525793818,"$20,000-$35,400"
"551",1,27163,711.62610468151,"$20,000-$35,400"
"552",1,69035,474.882234670046,"$66,200-$81,530"
"554",1,14218,876.220632605728,"$4,600-$20,000"
"558",1,59070,168.262053339029,"50,800-$65,000"
"559",1,19233,653.133983053334,"$4,600-$20,000"
"560",1,12546,560.539827444514,"$4,600-$20,000"
"561",1,12725,81.6152221277177,"$4,600-$20,000"
"562",1,12675,116.721709229711,"$4,600-$20,000"
"563",1,9212,332.753557049334,"$4,600-$20,000"
"564",1,48719,2340.354802073,"$35,400-$50,700"
"565",1,12527,673.367906963966,"$4,600-$20,000"
"568",1,58684,144.82094547892,"50,800-$65,000"
"569",1,12269,2017.64877953773,"$4,600-$20,000"
"570",1,11795,671.110931408225,"$4,600-$20,000"
"571",1,23778,1556.91932729247,"$20,000-$35,400"
"572",1,30310,1896.92983677526,"$20,000-$35,400"
"573",1,30234,403.910793057115,"$20,000-$35,400"
"574",1,12430,1005.55713871926,"$4,600-$20,000"
