"","CREDDESC","EARN_MALE_WNE_MDN_1YR","EARN_NOMALE_WNE_MDN_1YR","EARN_MALE_WNE_MDN_4YR","EARN_NOMALE_WNE_MDN_4YR"
"8428","Bachelor's Degree",30707,25457,50585,45726
"8429","Bachelor's Degree",26676,17772,43027,27924
"8430","Associate's Degree",23789,27334,22502,27241
"8431","Bachelor's Degree",26530,20211,28045,38049
"8432","Bachelor's Degree",53467,58037,77842,90972
"8433","Bachelor's Degree",37129,27085,49479,40489
"8434","Bachelor's Degree",72939,72052,91020,82152
"8435","Bachelor's Degree",40526,20025,40620,34936
"8436","Master's Degree",75645,67848,58390,86802
"8437","Associate's Degree",23994,24987,42176,39594
"8438","Bachelor's Degree",70916,85512,99726,87360
"8439","Master's Degree",144095,129009,166703,132127
"8440","Bachelor's Degree",51983,41694,73127,56109
"8441","Master's Degree",75094,70505,99343,74525
"8442","Associate's Degree",46909,45748,63215,47659
"8443","Master's Degree",61746,59132,60590,62467
"8444","Bachelor's Degree",28396,33427,47401,45153
"8445","Master's Degree",56037,54825,66249,55396
"8446","Bachelor's Degree",50031,48726,53726,49876
"8447","Bachelor's Degree",37461,34072,50026,41606
"8448","Bachelor's Degree",29476,28817,43542,42919
"8449","Bachelor's Degree",38950,34079,52048,43131
"8450","Master's Degree",71033,43569,95250,60552
"8451","Bachelor's Degree",24023,16335,31788,36791
"8452","Bachelor's Degree",53024,54097,41684,47238
"8453","Bachelor's Degree",44999,39773,53378,50002
"8454","Bachelor's Degree",44387,40285,60273,42895
"8455","Master's Degree",82186,69267,99127,82238
"8456","Bachelor's Degree",48613,47551,64421,61947
"8457","Bachelor's Degree",49667,46119,63621,56241
"8458","Bachelor's Degree",46539,33563,69648,45816
"8459","Bachelor's Degree",42680,30693,53424,49384
"8460","Associate's Degree",29397,22662,33181,32732
"8461","Associate's Degree",61382,59995,78122,70429
"8462","Associate's Degree",34321,30346,40336,40497
"8463","Associate's Degree",30511,20876,42063,35671
"8464","Associate's Degree",37745,31149,49528,42138
"8465","First Professional Degree",61741,56931,73240,74672
"8466","First Professional Degree",65253,65775,92339,88216
"8467","Undergraduate Certificate or Diploma",22753,16733,22182,19433
"8468","Undergraduate Certificate or Diploma",20927,17368,25987,21765
"8469","Undergraduate Certificate or Diploma",17306,19792,25053,22175
"8470","Undergraduate Certificate or Diploma",25597,21052,26838,22699
"8471","Undergraduate Certificate or Diploma",20306,17988,26212,19667
"8472","Master's Degree",66134,59725,63865,61607
"8473","First Professional Degree",94262,89876,120670,115881
"8474","Master's Degree",43144,50908,67308,48605
"8475","Master's Degree",126862,143223,129603,132716
"8476","Master's Degree",63121,61600,101952,87521
"8477","Bachelor's Degree",72032,75713,118568,90558
"8478","Associate's Degree",26400,19808,37778,26824
"8479","Associate's Degree",33284,27099,43782,37572
"8480","Bachelor's Degree",29652,30692,41086,37471
"8481","Master's Degree",62370,57809,65997,59284
"8482","Bachelor's Degree",42045,42603,46634,44839
"8483","Bachelor's Degree",36617,27804,47243,41900
"8484","Bachelor's Degree",39101,32949,56299,40432
"8485","Bachelor's Degree",18292,28279,34550,39847
"8486","Bachelor's Degree",16466,20150,43434,29182
"8487","Bachelor's Degree",43741,40957,53244,43785
"8488","Bachelor's Degree",69282,65312,79339,73208
"8489","Bachelor's Degree",45746,38618,57108,42832
"8490","Bachelor's Degree",41832,37655,69149,53264
"8491","Bachelor's Degree",41816,47271,52606,62000
"8492","Master's Degree",60777,53811,65711,75909
"8493","Bachelor's Degree",38871,42683,52936,40572
"8494","Bachelor's Degree",37757,33057,44436,48532
"8495","Bachelor's Degree",29126,30092,42696,41935
"8496","Bachelor's Degree",37464,38530,53024,50499
"8497","Bachelor's Degree",53322,53274,70057,79140
"8498","Master's Degree",52828,53745,53279,56013
"8499","Bachelor's Degree",29960,39821,45942,43784
"8500","Bachelor's Degree",32734,34403,44439,47286
"8501","Bachelor's Degree",31772,27696,34266,43139
"8502","Bachelor's Degree",38836,37199,50641,50069
"8503","Master's Degree",33049,44086,46266,58313
"8504","Bachelor's Degree",28970,31844,59119,41163
"8505","Bachelor's Degree",47553,46012,50293,49137
"8506","Bachelor's Degree",32400,31148,44842,46449
"8507","Bachelor's Degree",34221,29467,54752,46900
"8508","Bachelor's Degree",32023,29509,45394,41155
"8509","Bachelor's Degree",35565,32583,54778,40451
"8510","Master's Degree",51911,49352,51184,51306
"8511","Bachelor's Degree",29103,25781,33086,36183
"8512","Bachelor's Degree",43898,38900,48365,46490
"8513","Bachelor's Degree",38412,31273,42979,52299
"8514","Bachelor's Degree",35434,31778,35381,42757
"8515","Bachelor's Degree",46610,41459,52452,55180
"8516","Bachelor's Degree",22862,27288,36223,32426
"8517","Bachelor's Degree",44905,43771,41598,49379
"8518","Bachelor's Degree",38749,39591,56149,53533
"8519","Bachelor's Degree",56218,58126,66444,61102
"8520","First Professional Degree",72819,69664,88813,75911
"8521","Bachelor's Degree",42008,41086,61246,53101
"8522","Master's Degree",78318,76263,90912,90810
"8523","Bachelor's Degree",47876,48157,69184,59935
"8524","Master's Degree",65048,63736,82992,77680
"8525","Bachelor's Degree",47657,46925,68078,63155
"8526","Bachelor's Degree",48674,46396,63532,58832
"8527","Bachelor's Degree",33982,33109,48117,44587
"8528","Bachelor's Degree",41604,39996,55124,47352
"8529","Master's Degree",42383,37000,44163,47913
"8530","Bachelor's Degree",50752,43366,51238,45007
"8531","Bachelor's Degree",38879,32345,50743,43703
"8532","Bachelor's Degree",32072,30979,44808,39300
"8533","Bachelor's Degree",44380,36209,57059,39408
"8534","Bachelor's Degree",72698,64461,84183,70916
"8535","Bachelor's Degree",46638,48270,66272,56458
"8536","Bachelor's Degree",52294,37766,56792,45909
"8537","Master's Degree",76182,59231,86999,70991
"8538","Bachelor's Degree",48180,45099,56437,54615
"8539","Bachelor's Degree",42985,34998,56214,42091
"8540","Associate's Degree",34962,26866,44028,37538
"8541","Undergraduate Certificate or Diploma",32902,28043,51451,42801
"8542","First Professional Degree",59608,60513,99051,83358
"8543","First Professional Degree",120061,106038,124363,102327
"8544","First Professional Degree",58741,58586,90416,100211
"8545","Doctoral Degree",73993,71386,92564,80460
"8546","Bachelor's Degree",67249,59117,76843,65019
"8547","First Professional Degree",58650,59058,79204,87447
